span,count,decision,reason
a => ∅,548,verified_translate,matched_manual_null_rule
o => ∅,506,verified_translate,matched_manual_null_rule
∅ => nos,343,verified_translate,matched_manual_null_rule
se => ∅,328,verified_translate,matched_manual_null_rule
∅ => se,299,verified_translate,matched_manual_null_rule
esta => essa,251,verified_translate,matched_manual_span
este => esse,231,verified_translate,matched_manual_span
∅ => eu,230,verified_translate,matched_manual_null_rule
os => ∅,184,verified_translate,matched_manual_null_rule
isto => isso,178,verified_translate,matched_manual_demonstrative_rule
da => de,165,verified_translate,matched_manual_span
num => em um,150,verified_translate,matched_gpt_span
de => ∅,143,verified_translate,matched_manual_null_rule
as => ∅,124,verified_translate,matched_manual_null_rule
∅ => a,113,verified_translate,matched_manual_null_rule
a ser => sendo,108,verified_translate,matched_manual_progressive_rule
de => que,106,verified_translate,matched_manual_span
do => de,103,verified_translate,matched_gpt_span
∅ => de,100,verified_translate,matched_manual_null_rule
∅ => o,98,verified_translate,matched_manual_null_rule
me => ∅,97,verified_translate,matched_manual_null_rule
numa => em uma,97,verified_translate,matched_gpt_span
factos => fatos,86,verified_translate,matched_gpt_span
∅ => me,81,verified_translate,matched_manual_null_rule
estas => essas,80,verified_translate,matched_manual_demonstrative_rule
no => em,75,verified_translate,matched_gpt_span
desta => dessa,73,verified_translate,matched_manual_demonstrative_rule
nos => ∅,71,verified_translate,matched_manual_null_rule
a => em,69,verified_translate,matched_manual_span
dos => de,69,verified_translate,matched_manual_span
ao => o,64,verified_translate,matched_manual_span
em => na,64,verified_translate,matched_gpt_span
estes => esses,64,verified_translate,matched_manual_demonstrative_rule
neste => nesse,61,verified_translate,matched_manual_span
de => da,61,verified_translate,matched_manual_span
∅ => us,59,verified_translate,matched_manual_null_rule
a fazer => fazendo,59,verified_translate,matched_manual_progressive_rule
registo => registro,59,verified_translate,matched_gpt_span
porque => por que,57,verified_translate,default_translate_fallback
deste => desse,55,verified_translate,matched_manual_demonstrative_rule
equipa => equipe,53,verified_translate,matched_gpt_span
na => em,51,verified_translate,matched_gpt_span
uma => ∅,49,verified_translate,matched_manual_null_rule
um => ∅,49,verified_translate,matched_manual_null_rule
presidente da camara => prefeito,47,verified_translate,matched_manual_span
investigacao => pesquisa,47,verified_translate,matched_gpt_span
que => ∅,46,verified_translate,matched_manual_null_rule
∅ => meio,46,verified_translate,matched_manual_null_rule
e => ∅,46,verified_translate,matched_manual_null_rule
a => para,44,verified_translate,default_translate_fallback
lhe => ∅,44,verified_translate,matched_manual_null_rule
a falar => falando,43,verified_translate,matched_manual_progressive_rule
para => ∅,40,verified_translate,matched_manual_null_rule
do => ∅,39,verified_translate,matched_manual_null_rule
ao => no,38,verified_translate,matched_gpt_span
∅ => r,37,verified_translate,matched_manual_null_rule
das => de,37,verified_translate,matched_gpt_span
∅ => voce,35,verified_translate,matched_manual_null_rule
presidentes de camara => prefeitos,34,verified_translate,matched_manual_span
dolares => ∅,33,verified_translate,matched_manual_null_rule
∅ => ele,33,verified_translate,matched_manual_null_rule
ao => a,33,verified_translate,matched_gpt_span
∅ => que,33,verified_translate,matched_manual_null_rule
e que => ∅,31,verified_translate,matched_manual_null_rule
a => na,31,verified_translate,default_translate_fallback
∅ => ainda,31,verified_translate,matched_manual_null_rule
a => ao,29,verified_translate,default_translate_fallback
deputados => parlamentares,28,verified_translate,matched_manual_span
de => do,27,verified_translate,default_translate_fallback
ja => ∅,27,verified_translate,matched_manual_null_rule
