kind,id,sent_pt_br,sent_pt_pt,len_br,len_pt,ratio
high_ratio,8622756,E,E o Presidente da Câmara disse...,1,33,33.0
high_ratio,13144323,À,Para a Princesa dos Elefantes...,1,32,32.0
high_ratio,14927825,A,Os polícias a cavalo têm sempre,1,31,31.0
high_ratio,14177602,A,Mas a semana passada disse...,1,29,29.0
high_ratio,10890264,A,"Portanto, a escolha é vossa.",1,28,28.0
high_ratio,5552184,E,Nem imaginas as estrelas que,1,28,28.0
high_ratio,8738134,E,"Tenho 3 palavras pra vocês,",1,27,27.0
high_ratio,7171732,E,"Não, eu não saio do carro.",1,26,26.0
high_ratio,4958579,O,A melhor mascote que há...,1,26,26.0
high_ratio,5156516,A,"A conspiração contra JFK"":",1,26,26.0
high_ratio,11534184,E,E sabes o que lhe disse?,1,24,24.0
high_ratio,5496935,A,Era isso que eu falava.,1,23,23.0
high_ratio,2799786,E,[E então ela gritou...],1,23,23.0
high_ratio,5131521,E,E então ele disse-me...,1,23,23.0
high_ratio,13099827,E,E tenho outra história.,1,23,23.0
high_ratio,11099106,E,E foi então que o ouvi.,1,23,23.0
high_ratio,5442349,É,Somos os Ducks ou quê?,1,22,22.0
high_ratio,1459516,E,E disseram a Samuel...,1,22,22.0
high_ratio,172219,O,Já disse que a deixei.,1,22,22.0
high_ratio,3211526,E,E os planetas também.,1,21,21.0
high_ratio,520976,É,Foi como me conheceu.,1,21,21.0
high_ratio,6344386,E,"Disse para mim mesma,",1,21,21.0
high_ratio,9711275,E,E depois há o Danny.,1,20,20.0
high_ratio,8206448,E,"Já lá dizia o outro,",1,20,20.0
high_ratio,15496184,E,E os nomeados são...,1,20,20.0
high_ratio,15609368,E,Digo-lhe uma coisa.,1,19,19.0
high_ratio,12040263,A,A diferença é esta.,1,19,19.0
high_ratio,1872173,E,Estávamos ambos ali,1,19,19.0
high_ratio,265693,É...,Bem--------------------------------------------------------------------...,4,74,18.5
high_ratio,8748983,E,E faz-me um favor.,1,18,18.0
high_ratio,14558996,3,Não praticar o mal,1,18,18.0
high_ratio,7921380,Eu,"Bem, vou-vos dizer porque telefonei.",2,36,18.0
high_ratio,843843,E,E tu conheces-me.,1,17,17.0
high_ratio,4752979,E,E mais uma coisa.,1,17,17.0
high_ratio,1429556,O,Aquele que diz...,1,17,17.0
high_ratio,8424176,E,E o vencedor é...,1,17,17.0
high_ratio,15599529,E,Tenho aqui outro.,1,17,17.0
high_ratio,9533497,É,Da Cruz Vermelha.,1,17,17.0
high_ratio,2417772,A,A história é essa,1,17,17.0
high_ratio,9071507,A,A vida é injusta,1,16,16.0
high_ratio,14008577,8,Oito Bravo 20...,1,16,16.0
high_ratio,15239792,É.,"Olha, talvez devêssemos entrar.",2,31,15.5
high_ratio,4227382,É?,Conheço cada bebida que existe.,2,31,15.5
high_ratio,275869,E,E depois gritou,1,15,15.0
high_ratio,4365830,E,Que atenciosos.,1,15,15.0
high_ratio,6154046,E,Mais uma coisa.,1,15,15.0
high_ratio,9471189,Só,"Todavia, tenho duas condições.",2,30,15.0
high_ratio,4267956,Al!,"Vinte e três, vinte e quatro, vinte e cinco.",3,44,14.666666666666666
high_ratio,5132057,Já,Consigo já ver os cabeçalhos.,2,29,14.5
high_ratio,3421418,É?,Disse que parecias o Houdini.,2,29,14.5
high_ratio,13019647,A,A dica é esta.,1,14,14.0
high_ratio,1391944,Só,"Há, apenas, uma diferença...",2,28,14.0
high_ratio,15570826,Os,"Os factos eram os seguintes,",2,28,14.0
high_ratio,4291233,É.,Arriscar a vida pela equipa.,2,28,14.0
high_ratio,2002326,E,E o comandante,1,14,14.0
high_ratio,6305149,É?,"O amor não é tudo, pois não?",2,28,14.0
high_ratio,12363200,É.,"Sim, todo o cuidado é pouco.",2,28,14.0
high_ratio,14421568,A,Aniquilem-nos.,1,14,14.0
high_ratio,14601390,E,E o orientador,1,14,14.0
high_ratio,15766881,Fbi,ANÁLISE COMPORTAMENTAL mortes FBI - UNID.,3,41,13.666666666666666
high_ratio,11347455,É.,"Sim, isso seria fantástico.",2,27,13.5
high_ratio,15745837,Os,Os factos são os seguintes.,2,27,13.5
high_ratio,13362668,É.,Também tenho saudades tuas.,2,27,13.5
high_ratio,6140504,É.,Estou só um bocado abalado.,2,27,13.5
high_ratio,9436823,Já,"Voçês conhecem a expressão,",2,27,13.5
high_ratio,9025878,Se,Se alguém te perguntasse...,2,27,13.5
high_ratio,7530681,Oh!,Sou primeiramente um taxidermatologista.,3,40,13.333333333333334
high_ratio,3930924,O,O paradoxo do,1,13,13.0
high_ratio,13004122,As,"Bom, aqui estão as regras.",2,26,13.0
high_ratio,68107,Fim,Tradução e Legendagem Francisco Marques,3,39,13.0
high_ratio,11528353,É?,Mas mais ninguém o perdeu.,2,26,13.0
high_ratio,3775032,É.,"Sim, vimos isso num filme.",2,26,13.0
high_ratio,276572,É?,Temos cavalos suficientes.,2,26,13.0
high_ratio,2826581,A,A temperatura,1,13,13.0
high_ratio,8387198,E,E isto é sim!,1,13,13.0
high_ratio,4005309,E,E pus-me para,1,13,13.0
high_ratio,14956837,E?,E ele deixou-me ir embora.,2,26,13.0
high_ratio,8630261,Eu,Encontrei a minha vocação.,2,26,13.0
high_ratio,11657995,W,Norma Wilcox.,1,13,13.0
high_ratio,6866080,Eu?,"Hemograma, tipo, 10 unidades cruzadas.",3,38,12.666666666666666
high_ratio,12949648,Som.,"Som, velocidade. Cabo Anthony Swofford Sacramento,",4,50,12.5
high_ratio,14655862,E?,"Claro que podes, querida.",2,25,12.5
high_ratio,789671,É.,"Sim, temo que seja, Tess.",2,25,12.5
high_ratio,7324957,É.,"Desculpe, Bill. [Suspira]",2,25,12.5
high_ratio,6243222,É!,Tony perkis proprietário,2,24,12.0
high_ratio,3874671,É.,"Cliff Clavin, benfeitor.",2,24,12.0
high_ratio,11310510,Me,Pergunto-lhe o seguinte.,2,24,12.0
high_ratio,10057193,O,Será que Mr.,1,12,12.0
high_ratio,11164749,O,Surpreendido,1,12,12.0
high_ratio,6807054,A,Há um ditado,1,12,12.0
high_ratio,9564295,É,"Sim, eu sei.",1,12,12.0
high_ratio,1144393,Lá,Ali tem lugar algo mais.,2,24,12.0
high_ratio,12140140,E,Outra coisa.,1,12,12.0
high_ratio,4851300,A,E vamos para,1,12,12.0
high_ratio,12100640,É!,Eu só arranjo problemas.,2,24,12.0
