kind,id,sent_pt_br,sent_pt_pt,len_br,len_pt,ratio,robust_z
hard_threshold,6776810,Quer minha opinião profissional?,A,32,1,0.03125,11.108171874999998
hard_threshold,7119139,Eis a minha atração favorita.,A,29,1,0.034482758620689655,11.07110344827586
hard_threshold,7934219,Nossa manchete principal...,A,27,1,0.037037037037037035,11.041814814814812
hard_threshold,1376080,E merecemos uma recompensa.,E,27,1,0.037037037037037035,11.041814814814812
hard_threshold,2074665,A realidade é a seguinte...,A,27,1,0.037037037037037035,11.041814814814812
hard_threshold,4913768,"Veja, esse é o meu lema...",O,26,1,0.038461538461538464,11.025480769230768
hard_threshold,4200321,E vou te dizer uma coisa.,E,25,1,0.04,11.007839999999998
hard_threshold,9928886,Toby Ziegler disse que...,O,25,1,0.04,11.007839999999998
hard_threshold,696063,Cuidado com 15 de março.,V,24,1,0.041666666666666664,10.988729166666666
hard_threshold,837030,Fuzileiros em Iwo Jima!,E,23,1,0.043478260869565216,10.967956521739127
hard_threshold,9146588,E é porisso que eu digo,E,23,1,0.043478260869565216,10.967956521739127
hard_threshold,4570771,Minha filosofia disto.,A,22,1,0.045454545454545456,10.945295454545452
hard_threshold,10089700,Minha última produção;,A,22,1,0.045454545454545456,10.945295454545452
hard_threshold,942528,Não há nenhuma dúvida.,O,22,1,0.045454545454545456,10.945295454545452
hard_threshold,4266155,"E como Mercutio disse,",E,22,1,0.045454545454545456,10.945295454545452
hard_threshold,14262678,Essa é minha pergunta.,A,22,1,0.045454545454545456,10.945295454545452
hard_threshold,6000600,E disse a mim mesmo...,E,22,1,0.045454545454545456,10.945295454545452
hard_threshold,6775251,E vou dizer outra vez.,E,22,1,0.045454545454545456,10.945295454545452
hard_threshold,6398028,Simplesmente como soa.,U,22,1,0.045454545454545456,10.945295454545452
hard_threshold,7809457,Conferência amanhã...,A,21,1,0.047619047619047616,10.920476190476188
hard_threshold,6235461,"Meu pai sempre disse,",O,21,1,0.047619047619047616,10.920476190476188
hard_threshold,15221914,THE UNIT 2ª Temporada,T,21,1,0.047619047619047616,10.920476190476188
hard_threshold,2207090,A resposta é simples.,A,21,1,0.047619047619047616,10.920476190476188
hard_threshold,493214,A situação permanece.,A,21,1,0.047619047619047616,10.920476190476188
hard_threshold,4909923,"A resposta correta é,",A,21,1,0.047619047619047616,10.920476190476188
hard_threshold,3333299,"Sim, pode deixar, BC.",J,21,1,0.047619047619047616,10.920476190476188
hard_threshold,4568944,"Eu pensei, depois...",E,20,1,0.05,10.893174999999998
hard_threshold,8043718,Meus grandes feitos.,A,20,1,0.05,10.893174999999998
hard_threshold,7575123,E eu lhe respondo...,A,20,1,0.05,10.893174999999998
hard_threshold,14604552,Posso terminar isso?,E,20,1,0.05,10.893174999999998
hard_threshold,12519520,História engraçada.,É,19,1,0.05263157894736842,10.862999999999998
hard_threshold,15481898,Sei de uma coisa...,A,19,1,0.05263157894736842,10.862999999999998
hard_threshold,16000417,Derrubar o guarda 2,1,19,1,0.05263157894736842,10.862999999999998
hard_threshold,1904614,E Frutas e legumes!,E,19,1,0.05263157894736842,10.862999999999998
hard_threshold,7243521,E vou responder-te.,E,19,1,0.05263157894736842,10.862999999999998
hard_threshold,9934959,E o peixinho diz...,E,19,1,0.05263157894736842,10.862999999999998
hard_threshold,4450569,Legado de Magritte,O,18,1,0.05555555555555555,10.82947222222222
hard_threshold,10690364,Esse é o problema.,O,18,1,0.05555555555555555,10.82947222222222
hard_threshold,15669084,"Minha força disse,",A,18,1,0.05555555555555555,10.82947222222222
hard_threshold,13974163,A coisa era assim.,A,18,1,0.05555555555555555,10.82947222222222
hard_threshold,13282125,Descobri algo sobre estes demônios.,E?,35,2,0.05714285714285714,10.811271428571427
hard_threshold,5200892,"Não farei promessas, exceto uma...",Só,34,2,0.058823529411764705,10.791999999999996
hard_threshold,4729664,E mais uma coisa.,E,17,1,0.058823529411764705,10.791999999999996
hard_threshold,13315914,E aí eu gritei...,E,17,1,0.058823529411764705,10.791999999999996
hard_threshold,6548488,Até este filho da,E,17,1,0.058823529411764705,10.791999999999996
hard_threshold,9349630,A mesma história.,O,17,1,0.058823529411764705,10.791999999999996
hard_threshold,6735514,As autoridades não acreditariam...,As,34,2,0.058823529411764705,10.791999999999996
hard_threshold,6363213,A minha avó dizia,A,17,1,0.058823529411764705,10.791999999999996
hard_threshold,8846870,A música é assim.,A,17,1,0.058823529411764705,10.791999999999996
hard_threshold,14548868,E um pouco disso.,E,17,1,0.058823529411764705,10.791999999999996
hard_threshold,7920608,E está dizendo...,E,17,1,0.058823529411764705,10.791999999999996
hard_threshold,12105279,"Assim, quando terminar a história",S.,33,2,0.06060606060606061,10.771560606060604
hard_threshold,5184693,"Sala 5, Taeko Okajima, 25 pontos.",25,33,2,0.06060606060606061,10.771560606060604
hard_threshold,12522942,Esse é o acordo.,O,16,1,0.0625,10.749843749999997
hard_threshold,6316070,E na cabeça dele,E,16,1,0.0625,10.749843749999997
hard_threshold,15719995,"Minha mãe dizia,",A,16,1,0.0625,10.749843749999997
hard_threshold,3105144,"Então Harry diz,",E,16,1,0.0625,10.749843749999997
hard_threshold,2224663,O tenente Calley,O,16,1,0.0625,10.749843749999997
hard_threshold,14875206,"Então eu disse,",E,15,1,0.06666666666666667,10.702066666666664
hard_threshold,14936024,Estou em frente ao computador.,Já,30,2,0.06666666666666667,10.702066666666664
hard_threshold,10530554,Preciso sair e achar Crichton.,Ok,30,2,0.06666666666666667,10.702066666666664
hard_threshold,14481210,"Pensei na hora,",O,15,1,0.06666666666666667,10.702066666666664
hard_threshold,415578,Se vocês dois tivessem dito...,Se,30,2,0.06666666666666667,10.702066666666664
hard_threshold,7317802,Tradução Mara Reajustes Arodri,M.,30,2,0.06666666666666667,10.702066666666664
hard_threshold,10549905,O problema é...,O,15,1,0.06666666666666667,10.702066666666664
hard_threshold,8549329,Desafiaram a polícia federal.,Um,29,2,0.06896551724137931,10.675706896551722
hard_threshold,5202793,Os meus homens descobriram...,Os,29,2,0.06896551724137931,10.675706896551722
hard_threshold,447296,E além do mais,E,14,1,0.07142857142857142,10.647464285714284
hard_threshold,15059067,"Sem problema, sem problema, sem problema.",Lá.,41,3,0.07317073170731707,10.627487804878047
hard_threshold,12785834,Provavelmente ganharei algumas respostas negativas...,Sim.,53,4,0.07547169811320754,10.601103773584905
hard_threshold,9206128,"Não matarás"".",O,13,1,0.07692307692307693,10.584461538461538
hard_threshold,8400431,Estava no fundo da ravina.,E?,26,2,0.07692307692307693,10.584461538461538
hard_threshold,13170453,Que tal isso?,E,13,1,0.07692307692307693,10.584461538461538
hard_threshold,5386825,Isso não é nada engraçado.,Tu,26,2,0.07692307692307693,10.584461538461538
hard_threshold,8197086,Meu amigo está sentado aí.,E?,26,2,0.07692307692307693,10.584461538461538
hard_threshold,9983279,A Aurion 620.,A,13,1,0.07692307692307693,10.584461538461538
hard_threshold,324027,Adaptação e Legendas Gustavo Nightmare,Fim,38,3,0.07894736842105263,10.561249999999998
hard_threshold,15438680,Não sei como é que ficou.,É.,25,2,0.08,10.549179999999998
hard_threshold,7935124,Dr. Nick riviera medicina clandestina,Dr.,37,3,0.08108108108108109,10.53678378378378
hard_threshold,2089848,"Meu pai diz,",O,12,1,0.08333333333333333,10.510958333333331
hard_threshold,6182821,Eu implorei.,E,12,1,0.08333333333333333,10.510958333333331
hard_threshold,10832587,0BoxeadorJoe,0,12,1,0.08333333333333333,10.510958333333331
hard_threshold,15952877,Em uma carta,A,12,1,0.08333333333333333,10.510958333333331
hard_threshold,7365387,Quem é você?,E,12,1,0.08333333333333333,10.510958333333331
hard_threshold,3328574,"Sim, eu sei.",J,12,1,0.08333333333333333,10.510958333333331
hard_threshold,10971061,"Básicamente,",E,12,1,0.08333333333333333,10.510958333333331
hard_threshold,5523767,"Adam - 12, 1",1,12,1,0.08333333333333333,10.510958333333331
hard_threshold,13781205,É seu sonho.,É,12,1,0.08333333333333333,10.510958333333331
hard_threshold,15598140,Traduzido por Tkdoll (Tô munitaaaaaaaaaaaaaaam?,Boa!,47,4,0.0851063829787234,10.490627659574466
hard_threshold,15693255,[Respirando pesadamente] [Respirando pesadamente] [Respirando pesadamente] Ahhh...,Ahhh...,82,7,0.08536585365853659,10.487652439024389
hard_threshold,181487,Wellington_tetsuo wellington_tetsuo,Meb,35,3,0.08571428571428572,10.48365714285714
hard_threshold,6708128,Mas vou lhe dizer isto.,Te,23,2,0.08695652173913043,10.469413043478259
