sample_id,dataset,split,domain,label,target_variant,direction,source_text,text_pt_br,text_pt_pt
ptbrvid_006001,PtBrVId,train,journalistic,pt-BR,pt-PT,br2pt,"As provas apresentadas foram insuficientes para condená-lo. Mas ninguém está preocupado em discutir a tecnicidade do julgamento. Há a suspeita de que houve algum acordo secreto para absolvê-lo. A desconfiança é generalizada. Dentro deste contexto, seria imprecindível que os atuais partidos e seus congressitas fizessem um esforço supremo e final para buscar uma alternativa séria para o impasse que criaram. Não gostam da idéia de uma assembléia revisora exclusiva? Muito bem. E o quê propôem?","As provas apresentadas foram insuficientes para condená-lo. Mas ninguém está preocupado em discutir a tecnicidade do julgamento. Há a suspeita de que houve algum acordo secreto para absolvê-lo. A desconfiança é generalizada. Dentro deste contexto, seria imprecindível que os atuais partidos e seus congressitas fizessem um esforço supremo e final para buscar uma alternativa séria para o impasse que criaram. Não gostam da idéia de uma assembléia revisora exclusiva? Muito bem. E o quê propôem?",
ptbrvid_006002,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"O encontro anual foi cancelado por mútuo acordo entre as federações inglesa e escocesa no final dos anos 80, numa altura em que realizá-lo nos tornaria vulneráveis, pois concentrava as atenções e tínhamos um governo que não era nada sensível aos problemas do futebol e tentou forçar medidas que teriam sido muito negativas para a modalidade, como a introdução de cartões de identidade. Não vimos qualquer razão para continuar a jogar um encontro acerca do qual os jornais iam dizer antecipadamente que seria uma batalha ou a terceira guerra mundial. Mas, logo na altura, dissemos que queríamos reatar os encontros tão cedo quanto fosse razoável fazê-lo. E não me lembro de uma ocasião melhor que esta.",,"O encontro anual foi cancelado por mútuo acordo entre as federações inglesa e escocesa no final dos anos 80, numa altura em que realizá-lo nos tornaria vulneráveis, pois concentrava as atenções e tínhamos um governo que não era nada sensível aos problemas do futebol e tentou forçar medidas que teriam sido muito negativas para a modalidade, como a introdução de cartões de identidade. Não vimos qualquer razão para continuar a jogar um encontro acerca do qual os jornais iam dizer antecipadamente que seria uma batalha ou a terceira guerra mundial. Mas, logo na altura, dissemos que queríamos reatar os encontros tão cedo quanto fosse razoável fazê-lo. E não me lembro de uma ocasião melhor que esta."
ptbrvid_006003,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"Em relação à população feminina, as que trabalhavam em 1960 eram 31,1 por cento e em 1970 ascendiam a 18,3 por cento, acrescentou, sublinhando que o aumento do número de mulheres trabalhadoras não representou um aumento na qualificação das mesmas. ""Não há percepção imediata das mudanças resultantes da entrada no mundo do trabalho, mas as mulheres são obrigadas a crescer"", considerou a investigadora, referindo que muitas assinam pela primeira vez um cheque e algumas vão ao cinema sozinhas ou começam a encontrar-se umas com as outras.",,"Em relação à população feminina, as que trabalhavam em 1960 eram 31,1 por cento e em 1970 ascendiam a 18,3 por cento, acrescentou, sublinhando que o aumento do número de mulheres trabalhadoras não representou um aumento na qualificação das mesmas. ""Não há percepção imediata das mudanças resultantes da entrada no mundo do trabalho, mas as mulheres são obrigadas a crescer"", considerou a investigadora, referindo que muitas assinam pela primeira vez um cheque e algumas vão ao cinema sozinhas ou começam a encontrar-se umas com as outras."
ptbrvid_006004,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"Uma década de existência comemorada com uma retrospectiva de gravações ao vivo. É um espelho fiel do percurso do grupo e os primeiros registos, da época de ""Trinity Sessions"", mantêm ainda hoje um fascínio etéreo que, depois disso, Margo Timmins e companhia quebraram em troca de desvios pouco convincentes. A posterior falta de inspiração é aqui compensada por uma série de versões assombradas dos seus mestres no blues e na country, sobretudo ""Me and the devil"" de Robert Johnson e ""I' m so lonesome.."". De Hank Williams. (5) Déjà Vu Gangsters, Tarts & Wannabees Cowboy, distri. Edisom",,"Uma década de existência comemorada com uma retrospectiva de gravações ao vivo. É um espelho fiel do percurso do grupo e os primeiros registos, da época de ""Trinity Sessions"", mantêm ainda hoje um fascínio etéreo que, depois disso, Margo Timmins e companhia quebraram em troca de desvios pouco convincentes. A posterior falta de inspiração é aqui compensada por uma série de versões assombradas dos seus mestres no blues e na country, sobretudo ""Me and the devil"" de Robert Johnson e ""I' m so lonesome.."". De Hank Williams. (5) Déjà Vu Gangsters, Tarts & Wannabees Cowboy, distri. Edisom"
ptbrvid_006005,PtBrVId,train,legal,pt-PT,pt-BR,pt2br,"Todos os acórdãos anteriormente referidos nas presentes alegações são no sentido de que para que se possa concluir se o arrendatário tem ou não residência permanente no prédio arrendado, tudo o que importa averiguar é se é nele que o mesmo tem instalada e organizada a sua economia familiar, se é nele que têm lugar todas as relações de convivência familiar e social, de natureza normal e constante, do arrendatário, podendo assim concluir-se que não reside permanentemente no local arrendado o inquilino que ali não pratica os factos referidos como não provados nos pontos a dos factos provados.",,"Todos os acórdãos anteriormente referidos nas presentes alegações são no sentido de que para que se possa concluir se o arrendatário tem ou não residência permanente no prédio arrendado, tudo o que importa averiguar é se é nele que o mesmo tem instalada e organizada a sua economia familiar, se é nele que têm lugar todas as relações de convivência familiar e social, de natureza normal e constante, do arrendatário, podendo assim concluir-se que não reside permanentemente no local arrendado o inquilino que ali não pratica os factos referidos como não provados nos pontos a dos factos provados."
ptbrvid_006006,PtBrVId,train,literature,pt-BR,pt-PT,br2pt,"Por enquanto não Dê a perceber. X O portão ficava a uns trinta passos da casa que se erguia no centro de vasto jardim inglês. Todas as janelas do primeiro pavimento estavam abertas e despejavam cortinas de luz, que Tremulavam nas águas do tanque e na folhagem verde agitada pela brisa. As visitas foram conduzidas pelo criado ao salão, onde apenas se achava D. Firmina Mascarenhas, E o Torquato Ribeiro, com quem o velho trocou algumas palavras no vão de uma janela, enquanto Seixas sentado junto ao sofá aguardava o terrível momento.","Por enquanto não Dê a perceber. X O portão ficava a uns trinta passos da casa que se erguia no centro de vasto jardim inglês. Todas as janelas do primeiro pavimento estavam abertas e despejavam cortinas de luz, que Tremulavam nas águas do tanque e na folhagem verde agitada pela brisa. As visitas foram conduzidas pelo criado ao salão, onde apenas se achava D. Firmina Mascarenhas, E o Torquato Ribeiro, com quem o velho trocou algumas palavras no vão de uma janela, enquanto Seixas sentado junto ao sofá aguardava o terrível momento.",
ptbrvid_006007,PtBrVId,train,literature,pt-PT,pt-BR,pt2br,"Os meus passos instinctivamente, apressaram-me para o Lado da pequena porta verde aberta no muro. Estava aberta. Ao lado, junto de uma moita de baunilhas, estendido no Chão, levemente apoiado no cotovello, vi Então?",,"Os meus passos instinctivamente, apressaram-me para o Lado da pequena porta verde aberta no muro. Estava aberta. Ao lado, junto de uma moita de baunilhas, estendido no Chão, levemente apoiado no cotovello, vi Então?"
ptbrvid_006008,PtBrVId,train,literature,pt-PT,pt-BR,pt2br,"A realisação d'esse ardente desejo do seu coração havia de a Curar. Os paes concordaram de boa vontade em apressar o casamento; Tudo quanto A filha desejasse elles fariam para a melhorar. Mas a doente sorrindo Desdenhosa á proposta e olhando o Emygdio que a fitava ansiado e a Candida que se fingia desinteressada da conversa, respondeu que não tinha Pressa, que havia muito tempo... Queria que o João assistisse, queria Melhorar de todo... Desde esse dia é que o Vilhegas se mortificava a procurar o motivo D'aquella mudança da noiva, que lhe roubava assim a fortuna ambicionada Quando elle já estava de mãos estendidas para a agarrar. Redobrou de cuidados e de medicamentos, mas a Pillar, em vez de melhorar, De dia para dia se mostrava mais enfraquecida, mais desanimada e perto Da morte.",,"A realisação d'esse ardente desejo do seu coração havia de a Curar. Os paes concordaram de boa vontade em apressar o casamento; Tudo quanto A filha desejasse elles fariam para a melhorar. Mas a doente sorrindo Desdenhosa á proposta e olhando o Emygdio que a fitava ansiado e a Candida que se fingia desinteressada da conversa, respondeu que não tinha Pressa, que havia muito tempo... Queria que o João assistisse, queria Melhorar de todo... Desde esse dia é que o Vilhegas se mortificava a procurar o motivo D'aquella mudança da noiva, que lhe roubava assim a fortuna ambicionada Quando elle já estava de mãos estendidas para a agarrar. Redobrou de cuidados e de medicamentos, mas a Pillar, em vez de melhorar, De dia para dia se mostrava mais enfraquecida, mais desanimada e perto Da morte."
ptbrvid_006009,PtBrVId,train,politics,pt-BR,pt-PT,br2pt,"Os agricultores precisam de respeito, e nós precisamos assegurar também os nossos povos originários. É disso que se trata essa matéria. Não se faz necessário continuar essa discussão, até porque o Deputado que me antecedeu falou sobre tantas mentiras aqui, mas ele deveria se explicar. No contragolpe do Michel Temer, onde ele estava? E aqui vem falar sobre dois pesos e duas medidas?!","Os agricultores precisam de respeito, e nós precisamos assegurar também os nossos povos originários. É disso que se trata essa matéria. Não se faz necessário continuar essa discussão, até porque o Deputado que me antecedeu falou sobre tantas mentiras aqui, mas ele deveria se explicar. No contragolpe do Michel Temer, onde ele estava? E aqui vem falar sobre dois pesos e duas medidas?!",
ptbrvid_006010,PtBrVId,train,social_media,pt-BR,pt-PT,br2pt,Amigos primo surtou ontem em frente à televisão.. Assistindo a globolixo!!!! Ele já estava depressivo e com medo de trabalhar porque trabalha no mesmo hospital que desgraça de glovolixo tá matando mais q o corona!!! Ele teve convulsões e se encontra na UTI do hospital São Lucas.,Amigos primo surtou ontem em frente à televisão.. Assistindo a globolixo!!!! Ele já estava depressivo e com medo de trabalhar porque trabalha no mesmo hospital que desgraça de glovolixo tá matando mais q o corona!!! Ele teve convulsões e se encontra na UTI do hospital São Lucas.,
