sample_id,dataset,split,domain,source_label,target_variant,direction,source_text,batch_name,attempts,error,raw_path
ptbrvid_000303,PtBrVId,train,journalistic,pt-BR,pt-PT,br2pt,"Contador é morto a facada no apartamento Raimundo Evangelista, 38, foi golpeado no tórax e abdômen; Videocassete e aparelho de som foram roubados Da Reportagem Local O contador Raimundo Nonato Dutra Evangelista, 38, foi encontrado morto anteontem, às 22h, em seu apartamento na rua José Antônio Coelho, na Vila Mariana (zona sul). Evangelista morreu com facadas no tórax e no abdômen. Ele tinha marcas no pescoço como se o assassino tivesse tentado estrangulá-lo. Um videocassete e um aparelho de som foram roubados de sua residência. O contador era solteiro, morava sozinho e era funcionário público estadual. Na última sexta-feira, ele trabalhou até as 18h. Segundo o delegado Jurandir Correia de Sant'Anna, 36, da Divisão de Homicídios, Evangelista pode ter sido vítima de um roubo ou de um crime passional. De acordo com ele, o assassinato aconteceu entre a noite de sexta-feira e a madrugada de sábado.",journalistic_pt-BR_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/journalistic_pt-BR_0001.txt
ptbrvid_000715,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"O autor do prossegue o ""numa reacção perfeitamente irresponsável, só justificável pelo pânico"", abandonou o cadáver noutro local, decapitando-o para dificultar as investigações. Mais tarde, porém, ""o comandante do posto reconheceu as suas culpas"". Em declarações ao PÚBLICO, o comandante-geral da GNR sublinhou que a atitude de apontar a arma ""era ilegal"" e condenou a ausência de verificação de que esta se encontrava pronta a disparar. Quanto à tentativa de ocultação do crime, através de mutilação e da separação das duas partes do corpo, ela seria várias vezes classificada por Henrique Godinho como ""aberrante"".",journalistic_pt-PT_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/journalistic_pt-PT_0001.txt
ptbrvid_000921,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"Quando correu, ao princípio da tarde de anteontem, para abrir a porta de sua casa, na Rua José Joaquim Ribeiro Teles, em Ermesinde, pela cabeça daquele comerciante, de 40 anos, devem ter passado uma série de cenários de tragédia, tal era a veemência dos murros na porta e os gritos de quem estava do lado de fora. No entanto, aquilo que viu quando abriu a porta deixou-o apenas perplexo e completamente paralisado. Do outro lado estava um homem, jovem e desconhecido, sem nada que o distinguisse particularmente, não fora o facto de se encontrar completamente nu da cintura para baixo e de exigir, aos berros, ter relações sexuais com a esposa do dono da casa. Passados aqueles instantes de completa inércia, o comerciante reagiu e tentou agarrar o homem que, sentindo-se ameaçado, o tentou golpear com uma faca. Valeu, na ocasião, o facto de diversos vizinhos terem acorrido. O intruso só teve tempo de vestir as calças e desatar a correr, com tanta e tão compreensível pressa que deixou no chão um par de botas, um blusão e a sua própria cédula pessoal. Queda Mortal Safo de Fadjo, um guineense de 39 anos, teve morte quase imediata depois de ter caído, anteontem, de um quinto andar da obra onde trabalhava, na Rua Delfim de Lima, em Canelas, Gaia. Safo de Fadjo era funcionário da firma Irmãos Meireles, de Crestuma, e deu entrada no hospital de Gaia já sem vida. De acordo com a participação efectuada pela PSP, o trabalhador estava abrangido pelo seguro.",journalistic_pt-PT_0002,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/journalistic_pt-PT_0002.txt
ptbrvid_000992,PtBrVId,train,journalistic,pt-PT,pt-BR,pt2br,"Mais doze mortos a tiro nas favelas Norte do Rio Um confronto entre duas quadrilhas de traficantes de drogas causou a morte de 12 pessoas, entre elas duas mulheres grávidas, numa região de favelas da Zona Norte do Rio de Janeiro.",journalistic_pt-PT_0003,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/journalistic_pt-PT_0003.txt
ptbrvid_001759,PtBrVId,train,legal,pt-PT,pt-BR,pt2br,"Após, o Arguido pediu à ofendida para se acariciar, tendo o próprio começado a friccionar o seu pénis com as mãos colocando-o ereto, masturbando-se, e a acariciar-se pelo restante corpo, atos que foram vistos pela ofendida.",legal_pt-PT_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/legal_pt-PT_0001.txt
ptbrvid_002122,PtBrVId,train,literature,pt-BR,pt-PT,br2pt,"Afinal decidiu-se o rapaz; Apontando o trabuco para Manuel, armou a caçoleta; Mas o Rangir do ferro ainda soava, quando o gaúcho, a quem nada escapara, caiu sobre ele e arrancou- Lhe a arma da mão. Félix enfurecido precipitou-se sobre o chileno para cravar-lhe a faca no coração; Mas a- Chou-se em face de Manuel que ao cabo de breve luta o Mata-me de uma vez, demônio! Gritou o rapaz em um acesso de raiva; Ou antes acaba Logo de matar-me, pois já começaste.",literature_pt-BR_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/literature_pt-BR_0001.txt
ptbrvid_002576,PtBrVId,train,literature,pt-PT,pt-BR,pt2br,"Fazia gosto vel-o atirar-se ao tanque a agarrar o pau, que João lhe Lançava o mais longe que podia; Pegava n'elle, mettia-o na bocca e Trazia-o á margem, com grande alegria do pequerrucho e da sua irmã Joaninha. Esta brincadeira recomeçava vinte vezes sem cançar nunca a paciencia do Piloto. Depois eram corridas, festas, gargalhadas, saltos, até que o Assobio do creado da quinta chamava o fiel animal ás suas obrigações: Partia então como um raio, para escoltar as vaccas, que levavam aos Pastos, e impedil-as de entrar no lameiro do visinho. Quando o hortelão ia vender os legumes ao mercado, era o Piloto o guarda Da carroça; E muito atrevido seria quem saltasse á noite a parede da Quinta.",literature_pt-PT_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/literature_pt-PT_0001.txt
ptbrvid_002676,PtBrVId,train,literature,pt-PT,pt-BR,pt2br,"Eu dormi, Rosina; Dormi e sonhei... Com minha irmã. Estava -a vendo aos cinco anos, vestidinha de branco, quando a fomos levar às Chãs, e quando eu tinha seis... Nunca isto me esqueceu! Trepámos a uma cadeira para descer as maçãs que o padre capelão tinha a amadurecer no friso da sala. Augusta subiu denodadamente, mas faltou -lhe a coragem para saltar ao chão... E começou a gritar, a gritar, de sorte que o padre capelão a veio surpreender com as maçãs escondidas na abada do seu pequenino vestido...",literature_pt-PT_0002,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/literature_pt-PT_0002.txt
ptbrvid_003393,PtBrVId,train,politics,pt-BR,pt-PT,br2pt,"A cada dia, novos atentados acontecem em vários Estados do Brasil. Dias atrás, houve o triste atentado em Blumenau, Santa Catarina, quando quatro crianças, entre 4 e 7 anos de idade, foram mortas a golpes de machadinha por um canalha, por um criminoso, por um covarde, que não teve a coragem de enfrentar a polícia e preferiu se entregar. Ele matou quatro crianças, crianças da idade dos meus netos, e cinco crianças foram feridas. Hoje, em Goiás, houve outro atentado, mais um atentado perpetrado por um menor de 13 anos de idade. E nós fomos obrigados a ouvir, na nossa Comissão de Segurança Pública e Combate ao Crime Organizado, o Ministro da Justiça e Segurança Pública, Flávio Dino, dizer que o problema dos atentados é o armamento, porque aumenta a violência. Eu não sei se ele se faz rogado, se ele é inocente ou se é mau-caráter. Por quê? O que acontece? Todos esses atentados estão sendo perpetrados com armas brancas, com facas, com machadinhas. No passado, eles foram perpetrados até com arco e flecha. Então, o problema não é o armamento, que a população quer usar para se defender, o problema é este Governo atual, que desestruturou a segurança da população, que valoriza o crime organizado. Em 100 dias de governo, sem picanha, sem nenhuma ação real, o que nós vimos no Governo Lula foi a arvoragem do crime organizado, foi o aumento do crime organizado, que, em todas as grandes capitais de Estados, tem deitado e rolado, tem feito absurdos, como os ataques na Região Nordeste. Isso tem sido um espelho para jovens que, alimentados na Internet por grupos fanáticos, estão promovendo esses absurdos. É necessário uma ação desta Casa no sentido de proteger as crianças. É necessário, Sras. E Srs. Deputados, que tomemos atitude para defender as crianças na escola. Precisamos de policiamento nas escolas. Precisamos fazer com que seja retomada a autoridade dos professores e dos pais, porque esses perderam a autoridade sobre seus filhos. O resultado disso é o que nós estamos vendo: Crianças e jovens matando jovens, matando professoras, atacando pessoas inocentes.",politics_pt-BR_0003,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/politics_pt-BR_0003.txt
ptbrvid_004066,PtBrVId,train,social_media,pt-BR,pt-PT,br2pt,"Essa mocinha tem que se preocupar com a fome na África, a mutilação de mulheres na África e com mortes de cristãos na África e Oriente e parar de nos encher o saco, e vc Joice pare de dar ibope pra essa mocinha e de indiretamente atacar a fala do presidente.",social_media_pt-BR_0001,4,Could not parse translations from agent response.,data/ptbrvarid/translated_stageb_pairs_r48_500_t50/raw_failures/social_media_pt-BR_0001.txt
