stage_entry,split,dataset,rows,data_path,referenced_by_configs,status,notes
legacy_gpt_frmt_unfiltered_translation,train,FRMT,5004,data/encoder_decoder/t5gemma2/gpt_frmt_mix/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/translation_lora_r24_gpt_frmt_boilerplate.yaml,actual_file,"Legacy non-staged GPT+FRMT translation family: no PtBrVId augmentation and no Stage B FRMT filtering. When on-disk gpt_frmt_mix files are absent, counts are reconstructed from the strict GPT pair split plus the unfiltered FRMT train/valid split. run_export_translation_gpt_frmt.sh exports this family from a caller-specified source table, so the script records the ambiguity instead of pretending the source table is fixed."
legacy_gpt_frmt_unfiltered_translation,valid,FRMT,40,data/encoder_decoder/t5gemma2/gpt_frmt_mix/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/translation_lora_r24_gpt_frmt_boilerplate.yaml,actual_file,"Legacy non-staged GPT+FRMT translation family: no PtBrVId augmentation and no Stage B FRMT filtering. When on-disk gpt_frmt_mix files are absent, counts are reconstructed from the strict GPT pair split plus the unfiltered FRMT train/valid split. run_export_translation_gpt_frmt.sh exports this family from a caller-specified source table, so the script records the ambiguity instead of pretending the source table is fixed."
stageA_opensubs_frmt_classification,train,FRMT,4984,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py sets CLASSIFICATION_VALID_MIN_ROWS=0, so no train-to-valid top-up is applied here."
stageA_opensubs_frmt_classification,train,OpenSubs,17675710,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py sets CLASSIFICATION_VALID_MIN_ROWS=0, so no train-to-valid top-up is applied here."
stageA_opensubs_frmt_classification,valid,FRMT,40,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py sets CLASSIFICATION_VALID_MIN_ROWS=0, so no train-to-valid top-up is applied here."
stageA_opensubs_frmt_effective_train_assume_opensubs_only,train,OpenSubs,20695766,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/{translation_train,translation_valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,thesis_assumption,"Thesis assumption: although Stage A was exported with OpenSubs+FRMT, OpenSubs is large enough that FRMT train exposure is treated as negligible. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_effective_train_assume_opensubs_only,valid,FRMT,40,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/{translation_train,translation_valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,thesis_assumption,"Thesis assumption: although Stage A was exported with OpenSubs+FRMT, OpenSubs is large enough that FRMT train exposure is treated as negligible. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_effective_train_assume_opensubs_only,valid,OpenSubs,160,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/{translation_train,translation_valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,thesis_assumption,"Thesis assumption: although Stage A was exported with OpenSubs+FRMT, OpenSubs is large enough that FRMT train exposure is treated as negligible. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_label_first_effective_train_assume_opensubs_only,train,OpenSubs,14702056,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{train,valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,thesis_assumption,"Thesis assumption: for Stage A label-first runs built from OpenSubs+FRMT, FRMT train exposure is treated as negligible relative to OpenSubs. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_label_first_effective_train_assume_opensubs_only,valid,FRMT,40,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{train,valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,thesis_assumption,"Thesis assumption: for Stage A label-first runs built from OpenSubs+FRMT, FRMT train exposure is treated as negligible relative to OpenSubs. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_label_first_effective_train_assume_opensubs_only,valid,OpenSubs,160,"effective-train assumption over data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{train,valid}.jsonl",configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,thesis_assumption,"Thesis assumption: for Stage A label-first runs built from OpenSubs+FRMT, FRMT train exposure is treated as negligible relative to OpenSubs. Train counts intentionally collapse the effective Stage A exposure to OpenSubs-only; valid remains the real built valid split."
stageA_opensubs_frmt_label_first_translation,train,FRMT,4964,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,actual_file,"This profile is built from stageA_opensubs_frmt translation files, then rewritten into label-first form with equal rows removed. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_frmt_label_first_translation,train,OpenSubs,14655654,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,actual_file,"This profile is built from stageA_opensubs_frmt translation files, then rewritten into label-first form with equal rows removed. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_frmt_label_first_translation,valid,FRMT,40,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,actual_file,"This profile is built from stageA_opensubs_frmt translation files, then rewritten into label-first form with equal rows removed. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
