id,pt_PT,pt_BR,pt_PT_words,pt_BR_words
1,"Ontem à noite, enquanto passeava pelo centro da cidade, encontrei um amigo que não via há anos.","Ontem à noite, enquanto caminhava pelo centro da cidade, encontrei um amigo que não via há anos.",17,17
2,"Se não te importares, vou buscar um café antes de começarmos a reunião, porque estou mesmo a precisar.","Se você não se importar, vou pegar um café antes de começarmos a reunião, porque estou realmente precisando.",18,18
3,"Amanhã de manhã, se o tempo estiver bom, podemos ir dar um passeio pela praia e aproveitar o sol.","Amanhã de manhã, se o tempo estiver bom, podemos dar uma volta pela praia e aproveitar o sol.",19,18
4,"Quando cheguei ao aeroporto, percebi que tinha deixado o passaporte em casa e entrei em pânico.","Quando cheguei ao aeroporto, percebi que tinha esquecido o passaporte em casa e fiquei desesperado.",16,15
5,A minha irmã pediu-me para tomar conta do gato dela enquanto ela está de férias no estrangeiro.,Minha irmã me pediu para cuidar do gato dela enquanto ela está de férias no exterior.,17,16
6,"Depois de uma longa caminhada pela serra, decidimos parar num café para descansar e beber um chá quente.","Depois de uma longa caminhada pela serra, decidimos parar em um café para descansar e tomar um chá quente.",18,19
7,"Se quiseres, posso ajudar-te a montar os móveis novos, mas vai demorar algum tempo a terminar tudo.","Se você quiser, posso te ajudar a montar os móveis novos, mas vai levar um tempo para terminar tudo.",17,19
8,"A reunião foi adiada para a próxima semana, porque o diretor não conseguiu chegar a tempo devido ao trânsito.","A reunião foi adiada para a próxima semana, porque o diretor não conseguiu chegar a tempo por causa do trânsito.",19,20
9,"Ontem à tarde, enquanto esperava pelo autocarro, encontrei uma carteira no chão e entreguei-a à polícia.","Ontem à tarde, enquanto esperava pelo ônibus, encontrei uma carteira no chão e entreguei para a polícia.",16,17
10,"Se não te importares, vou abrir a janela, porque está muito calor aqui dentro e preciso de um pouco de ar fresco.","Se você não se importar, vou abrir a janela, porque está muito calor aqui dentro e preciso de um pouco de ar fresco.",22,23
11,"A professora pediu aos alunos que entregassem os trabalhos até sexta-feira, mas alguns ainda não o fizeram.","A professora pediu para os alunos entregarem os trabalhos até sexta-feira, mas alguns ainda não fizeram isso.",17,17
12,"Depois de passar horas a tentar resolver o problema, finalmente consegui encontrar uma solução que funcionava.","Depois de passar horas tentando resolver o problema, finalmente consegui encontrar uma solução que funcionava.",16,15
13,"Quando cheguei ao restaurante, percebi que tinha esquecido a carteira em casa e fiquei sem saber o que fazer.","Quando cheguei ao restaurante, percebi que tinha esquecido a carteira em casa e não sabia o que fazer.",19,18
14,"Amanhã de manhã, se não chover, podemos ir ao mercado comprar frutas frescas e alguns legumes para o jantar.","Amanhã de manhã, se não chover, podemos ir à feira comprar frutas frescas e alguns legumes para o jantar.",19,19
15,"A minha prima convidou-me para a festa de aniversário dela, mas ainda não sei se vou conseguir ir.","Minha prima me convidou para a festa de aniversário dela, mas ainda não sei se vou conseguir ir.",18,18
16,"A professora pediu aos alunos que entregassem os trabalhos de casa até ao final da semana, mas nem todos o fizeram.","A professora pediu para os alunos entregarem os deveres de casa até o final da semana, mas nem todos fizeram isso.",21,21
17,"Quando fui ao supermercado, percebi que tinha esquecido a lista de compras e tive de improvisar.","Quando fui ao mercado, percebi que tinha esquecido a lista de compras e precisei improvisar.",16,15
18,"Amanhã, se o tempo estiver bom, podemos fazer um piquenique no parque e levar algumas sandes e sumos.","Amanhã, se o tempo estiver bom, podemos fazer um piquenique no parque e levar alguns sanduíches e sucos.",18,18
19,"Quando fui ao mercado, percebi que tinha esquecido o saco reutilizável e tive de comprar um de plástico.","Quando fui ao mercado, percebi que tinha esquecido a sacola reutilizável e precisei comprar uma de plástico.",18,17
20,"Se quiseres, posso ajudar-te a organizar a festa de aniversário, mas precisas de me dizer o que já tens planeado.","Se você quiser, posso te ajudar a organizar a festa de aniversário, mas você precisa me dizer o que já planejou.",20,21
21,"Amanhã, se não chover, podemos ir ao jardim botânico para ver as flores que estão a desabrochar.","Amanhã, se não chover, podemos ir ao jardim botânico para ver as flores que estão desabrochando.",17,16
22,O meu vizinho pediu-me ajuda para montar um móvel novo que comprou na loja de móveis do centro da cidade.,Meu vizinho me pediu ajuda para montar um móvel novo que ele comprou na loja de móveis do centro da cidade.,20,21
23,O meu irmão mais novo adora jogar futebol no parque com os amigos depois das aulas da escola.,Meu irmão mais novo adora jogar futebol no parque com os amigos depois das aulas da escola.,18,17
24,A reunião de trabalho foi adiada para a próxima semana porque o chefe teve um imprevisto de última hora.,A reunião de trabalho foi adiada para a semana que vem porque o chefe teve um imprevisto de última hora.,19,20
25,"Antes de saíres de casa, certifica-te de que fechaste todas as janelas e trancaste a porta principal.","Antes de sair de casa, certifique-se de que fechou todas as janelas e trancou a porta principal.",17,17
26,"No próximo verão, estamos a planear fazer uma viagem de carro por toda a costa do sul de Portugal.","No próximo verão, estamos planejando fazer uma viagem de carro por toda a costa do sul de Portugal.",19,18
27,O professor explicou o problema de matemática de uma forma tão clara que todos os alunos conseguiram entender.,O professor explicou o problema de matemática de um jeito tão claro que todos os alunos conseguiram entender.,18,18
28,"Antes de sairmos para o jantar, o meu pai pediu-me para verificar se todas as luzes estavam apagadas.","Antes de sairmos para o jantar, meu pai me pediu para verificar se todas as luzes estavam apagadas.",18,18
29,"Quando fomos visitar o museu, ficámos impressionados com a quantidade de obras de arte expostas nas galerias.","Quando fomos visitar o museu, ficamos impressionados com a quantidade de obras de arte expostas nas galerias.",17,17
30,"Quando fomos à feira de antiguidades, encontramos um candeeiro antigo que ficava perfeito na nossa sala de estar.","Quando fomos à feira de antiguidades, encontramos uma luminária antiga que ficava perfeita na nossa sala de estar.",18,18
31,"Quando fores ao supermercado, lembra-te de comprar pão fresco, leite e algumas maçãs para o pequeno-almoço.","Quando você for ao mercado, lembre-se de comprar pão fresco, leite e algumas maçãs para o café da manhã.",16,19
32,"A viagem de comboio foi muito agradável, especialmente porque a paisagem ao longo do caminho era deslumbrante.","A viagem de trem foi muito agradável, especialmente porque a paisagem ao longo do caminho era deslumbrante.",17,17
33,"Quando fores ao mercado, lembra-te de comprar ovos, farinha e açúcar para fazermos o bolo de aniversário.","Quando você for ao mercado, lembre-se de comprar ovos, farinha e açúcar para fazermos o bolo de aniversário.",17,18
34,"O comboio para Lisboa está atrasado, por isso vou ter de esperar mais meia hora na estação.","O trem para São Paulo está atrasado, então vou ter que esperar mais meia hora na estação.",17,17
35,Amanhã vou ao centro da cidade para comprar um presente de aniversário para a minha irmã mais nova.,Amanhã vou ao centro da cidade para comprar um presente de aniversário para a minha irmã caçula.,18,17
36,"O professor pediu-nos para entregar o trabalho final até ao final da próxima semana, sem falta.","O professor pediu para entregarmos o trabalho final até o fim da próxima semana, sem falta.",16,16
37,"Se o tempo continuar assim, acho que vamos ter de cancelar o piquenique que planeámos para o domingo.","Se o tempo continuar assim, acho que vamos ter que cancelar o piquenique que planejamos para o domingo.",18,18
38,"Se o tempo estiver bom no fim de semana, podemos organizar um churrasco no jardim com os amigos.","Se o tempo estiver bom no fim de semana, a gente pode organizar um churrasco no quintal com os amigos.",18,20
39,"No próximo fim de semana, estamos a pensar fazer um piquenique no parque, se o tempo estiver bom.","No próximo fim de semana, estamos pensando em fazer um piquenique no parque, se o tempo estiver bom.",18,18
40,"Embora o trânsito estivesse caótico esta manhã, consegui chegar ao trabalho a tempo para a reunião importante.","Embora o trânsito estivesse um caos hoje de manhã, consegui chegar ao trabalho a tempo para a reunião importante.",17,19
41,"Apesar de termos planeado sair cedo, acabámos por nos atrasar porque o meu irmão não encontrava as chaves do carro.","Apesar de termos planejado sair cedo, acabamos nos atrasando porque meu irmão não encontrava as chaves do carro.",20,18
42,"Embora o filme tenha sido um pouco longo, gostei muito da história e das personagens principais, que eram cativantes.","Embora o filme tenha sido um pouco longo, gostei muito da história e dos personagens principais, que eram cativantes.",19,19
43,O comboio estava tão cheio esta manhã que tive de ficar de pé durante toda a viagem até ao trabalho.,O trem estava tão cheio hoje de manhã que precisei ficar em pé durante toda a viagem até o trabalho.,20,20
44,"Se fores ao supermercado, traz-me um pacote de arroz e algumas maçãs, porque já não temos em casa.","Se você for ao mercado, traga um pacote de arroz e algumas maçãs, porque já não temos em casa.",18,19
45,O filme que vimos ontem à noite foi tão emocionante que fiquei a pensar nele durante horas.,O filme que assistimos ontem à noite foi tão emocionante que fiquei pensando nele por horas.,17,16
46,"Se fores ao centro da cidade, não te esqueças de passar pela farmácia para comprar os medicamentos.","Se você for ao centro da cidade, não se esqueça de passar na farmácia para comprar os remédios.",17,18
